,Physician_Name,NPI,Physician_Specialty,Company,Nature_of_Payment,Therapeutic_Area,Drug,Total_Payment,Number_of_Payments
3481,"STROKLUND, REBECCA",1700046927.0,FAMILY MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,46.75,3
3482,"STROKLUND, REBECCA",1700046927.0,FAMILY MEDICINE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,RYBELSUS,46.31,3
3483,"STROM, JANELLE",1053668210.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,17.18,1
3484,"STROM, JANELLE",1053668210.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.72,1
3485,"STRUVE, WILLIAM",1952467540.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,13.52,1
3486,"STULC, JESSICA",1225271646.0,NEUROLOGY,CELGENE CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,13.36,1
3487,"STULC, JESSICA",1225271646.0,NEUROLOGY,"E.R. SQUIBB & SONS, L.L.C.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",NEUROSCIENCE,ZEPOSIA,3120.0,1
3488,"STULC, JESSICA",1225271646.0,NEUROLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,80.0,1
3489,"STULC, JESSICA",1225271646.0,NEUROLOGY,"EMD SERONO, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",NEUROLOGY,MAVENCLAD,5000.0,3
3490,"STULC, JESSICA",1225271646.0,NEUROLOGY,"EMD SERONO, INC.",FOOD AND BEVERAGE,NEUROLOGY,MAVENCLAD,52.41,1
3491,"STULC, JESSICA",1225271646.0,NEUROLOGY,GENZYME CORPORATION,FOOD AND BEVERAGE,NEUROLOGY,AUBAGIO,27.97,1
3492,"STULC, JESSICA",1225271646.0,NEUROLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,KESIMPTA,17.26,1
3493,"STUTZ, AMBER",1952748758.0,NEUROLOGY,"ACORDA THERAPEUTICS, INC",FOOD AND BEVERAGE,PARKINSON'S DISEASE,INBRIJA,16.82,1
3494,"STUTZ, AMBER",1952748758.0,NEUROLOGY,AMNEAL PHARMACEUTICALS LLC,FOOD AND BEVERAGE,NEUROLOGY,RYTARY,50.230000000000004,2
3495,"STUTZ, AMBER",1952748758.0,NEUROLOGY,"NEUROCRINE BIOSCIENCES, INC.",FOOD AND BEVERAGE,NEUROPSYCHIATRY,INGREZZA,26.45,2
3496,"SUBLA, MIR",1871577379.0,CARDIOVASCULAR DISEASE,ASTRAZENECA PHARMACEUTICALS LP,EDUCATION,CARDIOVASCULAR AND METABOLISM,FARXIGA,13.89,1
3497,"SUBRAMANIAN, SHARATH",1619047529.0,CARDIOVASCULAR DISEASE,NOVARTIS PHARMACEUTICALS CORPORATION,CONSULTING FEE,CARDIOVASCULAR,LEQVIO,1500.0,1
3498,"SUBRAMANIAN, SHARATH",1619047529.0,CARDIOVASCULAR DISEASE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,LEQVIO,108.33,1
3499,"SULLIVAN, ANNETTE",1316328719.0,DERMATOLOGY,"DERMAVANT SCIENCES, INC.",EDUCATION,DERMATOLOGY,VTAMA,14.0,1
3500,"SULLIVAN, KARA",1922142975.0,GASTROENTEROLOGY,"ARDELYX, INC.",FOOD AND BEVERAGE,GASTROENTEROLOGY,IBSRELA,15.5,1
3501,"SULLIVAN, KARA",1922142975.0,GASTROENTEROLOGY,CELGENE CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,36.260000000000005,3
3502,"SULLIVAN, KARA",1922142975.0,GASTROENTEROLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,46.55,2
3503,"SULLIVAN, KARA",1922142975.0,GASTROENTEROLOGY,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,INFECTIOUS DISEASE,DIFICID,11.75,1
3504,"SULLIVAN, KARA",1922142975.0,GASTROENTEROLOGY,NESTLE HEALTHCARE NUTRITION INC.,FOOD AND BEVERAGE,ENDOCRINE PANCREATIC INSUFFICIENCY,ZENPEP,12.69,1
3505,"SUMMERS, AARON",1508000373.0,ANESTHESIOLOGY,PACIRA PHARMACEUTICALS INCORPORATED,FOOD AND BEVERAGE,PAIN MANAGEMENT,EXPAREL,21.51,1
3506,"SUNDELL, BRIDGET",1871691295.0,OPHTHALMOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,13.12,1
3507,"SUNDELL, BRIDGET",1871691295.0,OPHTHALMOLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,19.39,1
3508,"SUNDELL, BRIDGET",1871691295.0,OPHTHALMOLOGY,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,13.26,1
3509,"SUNDERLIN, MATTHEW",1801867411.0,ANESTHESIOLOGY,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,NEUROSCIENCE,BRIDION,19.91,1
3510,"SUNNI, MUNA",1114110566.0,PEDIATRICS,MANNKIND CORPORATION,FOOD AND BEVERAGE,DIABETES MEDICINE,AFREZZA,12.66,1
3511,"SUNNI, MUNA",1114110566.0,PEDIATRICS,MANNKIND CORPORATION,TRAVEL AND LODGING,DIABETES MEDICINE,AFREZZA,497.2,1
3512,"SURDY, JAMES",1083705206.0,INTERNAL MEDICINE,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,CARDIOVASCULAR,ELIQUIS,17.64,1
3513,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,DYNAVAX TECHNOLOGIES CORPORATION,FOOD AND BEVERAGE,HEPATITIS B VACCINE,HEPLISAV-B,12.99,1
3514,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,INFECTIOUS DISEASES & VACCINES,SYMTUZA,83.21,5
3515,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,30.0,2
3516,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,"MELINTA THERAPEUTICS, LLC",EDUCATION,ANTIBIOTICS,VABOMERE,11.95,1
3517,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,"MELINTA THERAPEUTICS, LLC",FOOD AND BEVERAGE,ANTIBIOTICS,KIMYRSA,14.32,1
3518,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,"MELINTA THERAPEUTICS, LLC",FOOD AND BEVERAGE,ANTIBIOTICS,VABOMERE,14.53,1
3519,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,INFECTIOUS DISEASE,DIFICID,48.709999999999994,3
3520,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,THERATECHNOLOGIES INC.,FOOD AND BEVERAGE,HIV,EGRIFTA,162.54,2
3521,"SURYADEVARA, MADHU",1578906772.0,INTERNAL MEDICINE,THERATECHNOLOGIES INC.,FOOD AND BEVERAGE,HIV,TROGARZO,98.51,1
3522,"SWANLUND, ERIC",1396791166.0,ANESTHESIOLOGY,PACIRA PHARMACEUTICALS INCORPORATED,FOOD AND BEVERAGE,PAIN MANAGEMENT,EXPAREL,21.51,1
3523,"SWANSON, PENELOPE",1669451688.0,OPHTHALMOLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,14.62,1
3524,"SWEET, ROBERT",1992894059.0,GENERAL PRACTICE,"TRAVERE THERAPEUTICS, INC.",EDUCATION,KIDNEY STONES,THIOLA,3.82,1
3525,"SWENSON, JENNA",1194070409.0,SPORTS MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,LILETTA,13.45,1
3526,"SWENSON, KRISTIN",1770656845.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,26.6,1
3527,"SWICK, MARKI",1528562956.0,DERMATOLOGY,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,IMMUNOLOGY,SOTYKTU,18.83,1
3528,"SWICK, MARKI",1528562956.0,DERMATOLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,IMMUNOLOGY,TALTZ,16.28,1
3529,"SY-GO, JANINA PAULA",1043661549.0,INTERNAL MEDICINE,"OTSUKA AMERICA PHARMACEUTICAL, INC.",FOOD AND BEVERAGE,NEPHROLOGY,JYNARQUE,26.63,1
3530,"SY-GO, JANINA PAULA",1043661549.0,NEPHROLOGY,"AURINIA PHARMA U.S., INC.",FOOD AND BEVERAGE,LUPUS NEPHRITIS,LUPKYNIS,23.67,1
3531,"SY-GO, JANINA PAULA",1043661549.0,NEPHROLOGY,"VIFOR PHARMA, INC.",FOOD AND BEVERAGE,CKD-AP,KORSUVA,22.93,1
3532,"SYAL, REETU",1720008204.0,OBSTETRICS & GYNECOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,20.4,1
3533,"SYAL, REETU",1720008204.0,OBSTETRICS & GYNECOLOGY,"EXELTIS, USA INC.",FOOD AND BEVERAGE,ORAL CONTRACEPTIVE,SLYND,13.05,1
3534,"SYVERSON, JOSIE",1154760528.0,FAMILY MEDICINE,"LILLY USA, LLC",FOOD AND BEVERAGE,DIABETES,MOUNJARO,14.31,1
3535,"TABIBIAN, JAMES",1831356732.0,GASTROENTEROLOGY,HORIZON THERAPEUTICS PLC,HONORARIA,UPLIZNA,UPLIZNA,2250.0,1
3536,"TADIA, RIAZ",1073686325.0,NEUROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,DUOPA,23.21,1
3537,"TADIA, RIAZ",1073686325.0,NEUROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,QULIPTA,320.11,20
3538,"TADIA, RIAZ",1073686325.0,NEUROLOGY,ACADIA PHARMACEUTICALS INC,FOOD AND BEVERAGE,PARKINSONS DISEASE PSYCHOSIS,NUPLAZID,47.150000000000006,3
3539,"TADIA, RIAZ",1073686325.0,NEUROLOGY,AMNEAL PHARMACEUTICALS LLC,FOOD AND BEVERAGE,NEUROLOGY,RYTARY,58.28,3
3540,"TADIA, RIAZ",1073686325.0,NEUROLOGY,"APRECIA PHARMACEUTICALS, LLC",FOOD AND BEVERAGE,DECREASE CNS DISORGANIZED ELECTRICAL ACTIVITY [PE],SPRITAM,22.76,1
3541,"TADIA, RIAZ",1073686325.0,NEUROLOGY,"BIOGEN, INC.",FOOD AND BEVERAGE,NEUROLOGY,VUMERITY,48.44,3
3542,"TADIA, RIAZ",1073686325.0,NEUROLOGY,BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD.,FOOD AND BEVERAGE,PRIMARY CARE,NURTEC ODT,277.69,21
3543,"TADIA, RIAZ",1073686325.0,NEUROLOGY,"CATALYST PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,NEUROLOGY,FIRDAPSE,13.74,1
3544,"TADIA, RIAZ",1073686325.0,NEUROLOGY,HARMONY BIOSCIENCES LLC,FOOD AND BEVERAGE,NEUROLOGICAL DISORDERS,WAKIX,173.52,11
3545,"TADIA, RIAZ",1073686325.0,NEUROLOGY,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,NEUROSCIENCE,PONVORY,24.509999999999998,2
3546,"TADIA, RIAZ",1073686325.0,NEUROLOGY,"KYOWA KIRIN, INC.",FOOD AND BEVERAGE,ADENOSINE A2A RECEPTORS,NOURIANZ,65.57,4
3547,"TADIA, RIAZ",1073686325.0,NEUROLOGY,"MDD US OPERATIONS, LLC",FOOD AND BEVERAGE,NEUROLOGY,APOKYN,14.86,1
3548,"TADIA, RIAZ",1073686325.0,NEUROLOGY,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,NEUROSCIENCE,BELSOMRA,16.1,1
3549,"TADIA, RIAZ",1073686325.0,NEUROLOGY,"NEURELIS, INC.",FOOD AND BEVERAGE,EPILEPSY,VALTOCO,17.14,1
3550,"TADIA, RIAZ",1073686325.0,NEUROLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,KESIMPTA,152.15,13
3551,"TADIA, RIAZ",1073686325.0,NEUROLOGY,SUNOVION PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CNS,APTIOM,73.32,5
3552,"TADIA, RIAZ",1073686325.0,NEUROLOGY,"UCB, INC.",FOOD AND BEVERAGE,NEUROLOGY,BRIVIACT,38.41,2
3553,"TADIA, RIAZ",1073686325.0,NEUROLOGY,UPSHER-SMITH LABORATORIES LLC,FOOD AND BEVERAGE,NEUROLOGY,TOSYMRA,11.74,1
3554,"TADIA, RIAZ",1073686325.0,NEUROLOGY,UPSHER-SMITH LABORATORIES LLC,FOOD AND BEVERAGE,NEUROLOGY,ZEMBRACE SYMTOUCH,21.97,1
3555,"TAEMA, MARAM",1730752254.0,OROFACIAL PAIN,IMPEL PHARMACEUTICALS INC.,FOOD AND BEVERAGE,MIGRAINE,TRUDHESA,97.65,1
3556,"TAJI, JAMIL",1912161084.0,PULMONARY DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
3557,"TAN, ANNIE",1750470696.0,GYNECOLOGIC ONCOLOGY,EISAI INC.,FOOD AND BEVERAGE,ONCOLOGY,LENVIMA,125.0,1
3558,"TANGALOS, ERIC",1528045952.0,GERIATRIC MEDICINE,ACADIA PHARMACEUTICALS INC,CONSULTING FEE,PARKINSONS DISEASE PSYCHOSIS,NUPLAZID,9439.01,10
3559,"TANGALOS, ERIC",1528045952.0,GERIATRIC MEDICINE,ACADIA PHARMACEUTICALS INC,FOOD AND BEVERAGE,PARKINSONS DISEASE PSYCHOSIS,NUPLAZID,272.88,6
3560,"TAREEN, BASIR",1336355049.0,UROLOGY,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,ONCOLOGY,XTANDI,12.25,1
3561,"TAREEN, BASIR",1336355049.0,UROLOGY,GENZYME CORPORATION,FOOD AND BEVERAGE,ONCOLOGY,JEVTANA,21.04,1
3562,"TARIQ, ZEESHAN",1194958967.0,INTERNAL MEDICINE,DAIICHI SANKYO INC.,CONSULTING FEE,ONCOLOGY,ENHERTU,1387.5,1
3563,"TATE, TABITHA",1538621982.0,PEDIATRICS,"CHIESI USA, INC.",GIFT,NEONATOLOGY,CUROSURF,74.99,1
3564,"TATINENI, SUSHMA",1659785988.0,HEMATOLOGY & ONCOLOGY,"E.R. SQUIBB & SONS, L.L.C.",EDUCATION,ONCOLOGY,OPDUALAG,13.45,1
3565,"TAYLOR, EDWARD",1891009494.0,INTERNAL MEDICINE,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CARDIO-RENAL,KERENDIA,95.79,6
3566,"TEDESCO, ROSAMOND",1548469737.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,28.799999999999997,2
3567,"TEIGEN, GREGG",1043216641.0,OBSTETRICS & GYNECOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,ORILISSA,24.35,1
3568,"TEIGEN, GREGG",1043216641.0,OBSTETRICS & GYNECOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,WOMENS HEALTH,MIRENA,16.74,1
3569,"TEIGEN, GREGG",1043216641.0,OBSTETRICS & GYNECOLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,MYFEMBREE,12.53,1
3570,"TEKIPPE, STEVE",1194728733.0,FAMILY MEDICINE,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,UROLOGY,MYRBETRIQ,16.03,1
3571,"TEKIPPE, STEVE",1194728733.0,FAMILY MEDICINE,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,RESPIRATORY,BREZTRI,14.5,1
3572,"TEKLER, LASZLO",1184674277.0,CARDIOVASCULAR DISEASE,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,CARDIOVASCULAR,ELIQUIS,54.129999999999995,3
3573,"TEKLER, LASZLO",1184674277.0,CARDIOVASCULAR DISEASE,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,CARDIOVASCULAR,VERQUVO,22.59,1
3574,"TEKLER, LASZLO",1184674277.0,CARDIOVASCULAR DISEASE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,LEQVIO,15.27,1
3575,"TEKLER, LASZLO",1184674277.0,CARDIOVASCULAR DISEASE,PFIZER INC.,FOOD AND BEVERAGE,CARDIOVASCULAR,VYNDAQEL,38.8,2
3576,"TEMESGEN, ZELALEM",1528030335.0,INFECTIOUS DISEASE,VIIV HEALTHCARE COMPANY,CONSULTING FEE,HIV,DOVATO,3900.0,1
3577,"TEMESGEN, ZELALEM",1528030335.0,INFECTIOUS DISEASE,VIIV HEALTHCARE COMPANY,CONSULTING FEE,HIV,RUKOBIA,2760.0,1
3578,"TEMPLEMAN, SEAN",1194216598.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,13.62,1
3579,"TERAN RODRIGUEZ, PAOLA",1801388046.0,FAMILY MEDICINE,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CARDIO-RENAL,KERENDIA,13.16,1
3580,"THAYER, MACKENZIE",1053818252.0,OBSTETRICS & GYNECOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,WOMENS HEALTH,MIRENA,16.81,1
3581,"THIELEN, BETH",1831458793.0,INTERNAL MEDICINE,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,ACTIMMUNE,ACTIMMUNE,74.96,2
3582,"THIELEN, BETH",1831458793.0,INTERNAL MEDICINE,HORIZON THERAPEUTICS PLC,HONORARIA,ACTIMMUNE,ACTIMMUNE,1264.0,1
3583,"THIELEN, BETH",1831458793.0,INTERNAL MEDICINE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
3584,"THIEM, ERIC",1154363158.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,34.98,1
3585,"THIEM, ERIC",1154363158.0,OPTOMETRIST,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,46.0,1
3586,"THIEM, ERIC",1154363158.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,16.14,1
3587,"THIESSEN, CHRISTOPHER",1306849914.0,FAMILY MEDICINE,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,UROLOGY,MYRBETRIQ,16.03,1
3588,"THIESSEN, CHRISTOPHER",1306849914.0,FAMILY MEDICINE,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,RESPIRATORY,BREZTRI,11.9,1
3589,"THIESSEN, CHRISTOPHER",1306849914.0,FAMILY MEDICINE,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,MYFEMBREE,13.16,1
3590,"THIESSEN, CHRISTOPHER",1306849914.0,FAMILY MEDICINE,NESTLE HEALTHCARE NUTRITION INC.,FOOD AND BEVERAGE,ENDOCRINE PANCREATIC INSUFFICIENCY,ZENPEP,12.01,1
3591,"THOM, STEVEN",1063434637.0,OPHTHALMOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,LUMIGAN,16.16,1
3592,"THOM, STEVEN",1063434637.0,OPHTHALMOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,21.5,1
3593,"THOM, STEVEN",1063434637.0,OPHTHALMOLOGY,ALCON VISION LLC,FOOD AND BEVERAGE,OPHTHALMOLOGY,EYSUVIS,15.4,1
3594,"THOM, STEVEN",1063434637.0,OPHTHALMOLOGY,"DOMPE US, INC.",FOOD AND BEVERAGE,SOLUTION/ DROPS,OXERVATE,53.589999999999996,3
3595,"THOM, STEVEN",1063434637.0,OPHTHALMOLOGY,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,69.66,3
3596,"THOM, STEVEN",1063434637.0,OPHTHALMOLOGY,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,28.25,1
3597,"THOMES PEPIN, JESSICA",1013159029.0,GYNECOLOGIC ONCOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,ONCOLOGY,NUBEQA,18.67,1
3598,"THOMPSON, ANDREW",1700020856.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,32.48,2
3599,"THOMPSON, KANEISHA",1972168870.0,FAMILY MEDICINE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,RYBELSUS,22.95,1
3600,"THOMPSON, KATIE",1881860443.0,FAMILY MEDICINE,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,15.77,1
3601,"THORFINNSON, DAVID",1346276219.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.43,1
3602,"THORSETH, AUBREE",1104481985.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.41,1
3603,"THORSON, ASHLEY",1457647612.0,OBSTETRICS & GYNECOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,33.17,2
3604,"THORSON, MATTHEW",1942411509.0,PAIN MEDICINE,ALNYLAM PHARMACEUTICALS INC.,FOOD AND BEVERAGE,GENETIC DISEASE,ONPATTRO,18.38,1
3605,"THORSON, MATTHEW",1942411509.0,PAIN MEDICINE,"COLLEGIUM PHARMACEUTICAL, INC.",FOOD AND BEVERAGE,OPIOID ANALGESIC,BELBUCA,27.119999999999997,2
3606,"THURMES, PAUL",1205808466.0,HEMATOLOGY & ONCOLOGY,"E.R. SQUIBB & SONS, L.L.C.",EDUCATION,ONCOLOGY,OPDUALAG,27.41,2
3607,"TIENOR, BRIAN",1285921924.0,OPHTHALMOLOGY,ALCON VISION LLC,FOOD AND BEVERAGE,OPHTHALMOLOGY,SIMBRINZA,15.53,1
3608,"TIENOR, BRIAN",1285921924.0,OPHTHALMOLOGY,BAUSCH & LOMB AMERICAS INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VYZULTA,20.86,1
3609,"TILLMAN, ERICA",1841585890.0,DERMATOLOGY,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,63.2,3
3610,"TIN, THIHA",1376527259.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
3611,"TIN, THIHA",1376527259.0,INFECTIOUS DISEASE,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,INFECTIOUS DISEASE,ISENTRESS,19.63,1
3612,"TIN, THIHA",1376527259.0,INFECTIOUS DISEASE,"PARATEK PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,ANTIBIOTIC,NUZYRA,21.69,1
3613,"TIPTON, CHRISTOPHER",1053999144.0,ANESTHESIOLOGY,ACACIA PHARMA INC,FOOD AND BEVERAGE,ANESTHESIOLOGY,BYFAVO,16.61,1
3614,"TIWARI, ASHISH",1104119171.0,GASTROENTEROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,ENDOCRINOLOGY,CREON,15.95,1
3615,"TIWARI, ASHISH",1104119171.0,GASTROENTEROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,VIROLOGY,MAVYRET,29.39,2
3616,"TIWARI, ASHISH",1104119171.0,GASTROENTEROLOGY,CELGENE CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,ZEPOSIA,19.97,1
3617,"TIWARI, ASHISH",1104119171.0,GASTROENTEROLOGY,"IRONWOOD PHARMACEUTICALS, INC",FOOD AND BEVERAGE,GI,LINZESS,11.71,1
3618,"TOEWS, CHARLES",1275929366.0,DENTIST,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,11.98,1
3619,"TOKARSKI, ALEXANDER",1700349719.0,PODIATRIST,"SMITH+NEPHEW, INC.",FOOD AND BEVERAGE,PHARMA PRODUCTS,COLLAGENASE SANTYL,17.5,1
3620,"TOLDO, EMMALEE",1770069494.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,15.49,1
3621,"TOLDO, EMMALEE",1770069494.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,28.799999999999997,2
3622,"TOPPIN, BARBARA",1356327688.0,OBSTETRICS & GYNECOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,24.41,1
3623,"TORGERSON, SARA",1134391899.0,HEMATOLOGY & ONCOLOGY,"BEIGENE USA, INC.",FOOD AND BEVERAGE,ONCOLOGY,BRUKINSA,38.56,1
3624,"TORREALBA ALONSO, MAURICIO",1730594193.0,GENERAL PRACTICE,"SALIX PHARMACEUTICALS, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,GASTROENTEROLOGY,XIFAXAN,145.09,8
3625,"TORREALBA ALONSO, MAURICIO",1730594193.0,INTERNAL MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,VIROLOGY,MAVYRET,127.46,4
3626,"TORREALBA ALONSO, MAURICIO",1730594193.0,INTERNAL MEDICINE,MALLINCKRODT HOSPITAL PRODUCTS INC.,FOOD AND BEVERAGE,CRITICAL CARE,TERLIVAZ,14.71,1
3627,"TORREALBA ALONSO, MAURICIO",1730594193.0,INTERNAL MEDICINE,"TAKEDA PHARMACEUTICALS U.S.A., INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",INTERNAL MEDICINE,GATTEX,150.0,1
3628,"TORTORELIS, DEAN",1497868368.0,UROLOGY,"ANTARES PHARMA, INC.",FOOD AND BEVERAGE,NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS,NOCDURNA,205.96,18
